mean,var,mu,sigma
1e-10,0.0009519038885771544,-42.57317861705772,6.252571900764878
1e-10,0.0009619239284569139,-42.57841426644422,6.253409204026834
1e-10,0.0009719439683366734,-42.58359565942612,6.254237720056005
1e-10,0.0009819640082164328,-42.58872390898479,6.255057630277172
1e-10,0.0009919840480961924,-42.59380009420247,6.255869110565216
1e-10,0.001002004087975952,-42.59882526162518,6.256672331468977
1e-10,0.0010120241278557115,-42.603800426557704,6.2574674584239345
1e-10,0.001022044167735471,-42.608726574294835,6.25825465195439
1e-10,0.0010320642076152304,-42.613604661292555,6.25903406786576
1e-10,0.00104208424749499,-42.61843561628259,6.25980585742755
1e-10,0.0010521042873747495,-42.623220341333706,6.260570167547561
1e-10,0.001062124327254509,-42.62795971286264,6.261327140937803
1e-10,0.0010721443671342687,-42.6326545825976,6.262076916272611
1e-10,0.0010821644070140282,-42.63730577849695,6.262819628339378
1e-10,0.0010921844468937876,-42.641914105625524,6.263555408182332
1e-10,0.0011022044867735471,-42.646480346990984,6.264284383239721
1e-10,0.0011122245266533067,-42.65100526434226,6.265006677474782
1e-10,0.0011222445665330662,-42.65548959893225,6.265722411500815
1e-10,0.0011322646064128258,-42.6599340722466,6.26643170270069
1e-10,0.0011422846462925853,-42.66433938670031,6.267134665341069
1e-10,0.0011523046861723447,-42.66870622630407,6.267831410681625
1e-10,0.0011623247260521042,-42.673035257301564,6.268522047079535
1e-10,0.0011723447659318638,-42.67732712877958,6.2692066800894555
1e-10,0.0011823648058116234,-42.68158247325211,6.269885412559251
1e-10,0.001192384845691383,-42.68580190721967,6.270558344721659
1e-10,0.0012024048855711423,-42.68998603170549,6.271225574282117
1e-10,0.0012124249254509018,-42.69413543276917,6.271887196502934
1e-10,0.0012224449653306614,-42.698250681999404,6.272543304283988
1e-10,0.001232465005210421,-42.70233233698645,6.273193988240121
1e-10,0.0012424850450901805,-42.70638094177559,6.2738393367753895
1e-10,0.00125250508496994,-42.710397027302285,6.274479436154338
1e-10,0.0012625251248496994,-42.71438111181005,6.275114370570403
1e-10,0.001272545164729459,-42.718333701251765,6.275744222211627
1e-10,0.0012825652046092185,-42.72225528967532,6.27636907132378
1e-10,0.001292585244488978,-42.72614635959414,6.276988996271013
1e-10,0.0013026052843687376,-42.730007382343544,6.277604073594174
1e-10,0.001312625324248497,-42.733838818423315,6.278214378066881
1e-10,0.0013226453641282565,-42.73764111782735,6.278819982749448
1e-10,0.001332665404008016,-42.74141472036081,6.2794209590407855
1e-10,0.0013426854438877756,-42.7451600559454,6.280017376728338
1e-10,0.0013527054837675352,-42.74887754491331,6.280609304036171
1e-10,0.0013627255236472948,-42.75256759829034,6.281196807671271
